outcome,area,country,region,source_country_name,model_source,source_model_file
maternal_deaths,58,Estonia,European Region,Estonia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-58-01-01-2019.csv
maternal_deaths,59,Eswatini,African Region,Eswatini,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-59-01-01-2019.csv
maternal_deaths,60,Ethiopia,African Region,Ethiopia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-60-01-01-2019.csv
maternal_deaths,61,Fiji,Western Pacific Region,Fiji,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-61-01-01-2019.csv
maternal_deaths,62,Finland,European Region,Finland,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-62-01-01-2019.csv
maternal_deaths,63,France,European Region,France,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-63-01-01-2019.csv
maternal_deaths,64,Gabon,African Region,Gabon,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-64-01-01-2019.csv
maternal_deaths,65,Gambia,African Region,Gambia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-65-01-01-2019.csv
maternal_deaths,66,Georgia,European Region,Georgia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-66-01-01-2019.csv
maternal_deaths,67,Germany,European Region,Germany,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-67-01-01-2019.csv
