outcome,area,country,source_country_name,region,year,observed,expected_median,expected_lower,expected_upper,model_source,excess_median,excess_lower,excess_upper,signed_deviation,observed_expected_ratio,log_observed_expected_ratio
mmr,24,Brazil,Brazil,Region of the Americas,2020,84.88,62.7552468849,54.9517402381,72.29003226,ensemble_top4,22.1247531151,12.58996774,29.9282597619,22.1247531151,1.35255622778,0.301996304094
mmr,24,Brazil,Brazil,Region of the Americas,2021,128,62.8741037936,53.9666599527,77.9011647108,ensemble_top4,65.1258962064,50.0988352892,74.0333400473,65.1258962064,2.03581430632,0.710895889381
mmr,24,Brazil,Brazil,Region of the Americas,2022,104,62.8314451703,53.2701842633,85.5899054302,ensemble_top4,41.1685548297,18.4100945698,50.7298157367,41.1685548297,1.65522215378,0.503935231713
mmr,24,Brazil,Brazil,Region of the Americas,2023,66.91,62.8666370394,52.1753679604,95.8780823403,ensemble_top4,4.04336296059,0,14.7346320396,4.04336296059,1.06431651431,0.062332822535
mmr,25,Brunei Darussalam,Brunei Darussalam,Western Pacific Region,2020,38.51,39.1042773683,37.3209436613,40.107315917,ensemble_top4,0,0,1.18905633872,-0.5942773683,0.984802752837,-0.0153139087899
mmr,25,Brunei Darussalam,Brunei Darussalam,Western Pacific Region,2021,43.84,39.1036725987,37.0499370957,40.1101038865,ensemble_top4,4.73632740126,3.72989611347,6.79006290435,4.73632740126,1.12112231631,0.114330251703
mmr,25,Brunei Darussalam,Brunei Darussalam,Western Pacific Region,2022,88.15,39.1050286033,36.6826398822,40.1768049288,ensemble_top4,49.0449713967,47.9731950712,51.4673601178,49.0449713967,2.25418579524,0.812788841343
mmr,25,Brunei Darussalam,Brunei Darussalam,Western Pacific Region,2023,36.35,39.1323560942,36.2991054021,40.2265712576,ensemble_top4,0,0,0.0508945979097,-2.78235609423,0.928898835339,-0.0737554423961
mmr,26,Bulgaria,Bulgaria,European Region,2020,8.74,6.2966767349,5.49335224303,7.26038925694,ensemble_top4,2.4433232651,1.47961074306,3.24664775697,2.4433232651,1.38803377845,0.327888197846
mmr,26,Bulgaria,Bulgaria,European Region,2021,9.27,6.20263405353,5.13111507555,7.40400033332,ensemble_top4,3.06736594647,1.86599966668,4.13888492445,3.06736594647,1.49452634478,0.401809330406
mmr,26,Bulgaria,Bulgaria,European Region,2022,9.66,6.15018798225,4.70270335167,7.75076579165,ensemble_top4,3.50981201775,1.90923420835,4.95729664833,3.50981201775,1.57068369745,0.451511000653
mmr,26,Bulgaria,Bulgaria,European Region,2023,5.56,6.154087902,4.22340443721,8.12198429686,ensemble_top4,0,0,1.33659556279,-0.594087901996,0.903464508233,-0.101518452253
mmr,27,Burkina Faso,Burkina Faso,African Region,2020,334.1,265.497555361,256.303271704,275.045347022,ensemble_top4,68.6024446386,59.054652978,77.7967282962,68.6024446386,1.25839200118,0.229834716401
mmr,27,Burkina Faso,Burkina Faso,African Region,2021,354.1,253.846652288,244.891947439,263.189998678,ensemble_top4,100.253347712,90.9100013222,109.208052561,100.253347712,1.3949366549,0.332849005566
mmr,27,Burkina Faso,Burkina Faso,African Region,2022,316.3,242.763201993,233.773145856,251.893743015,ensemble_top4,73.5367980074,64.4062569853,82.5268541435,73.5367980074,1.30291575249,0.264604639479
mmr,27,Burkina Faso,Burkina Faso,African Region,2023,241.8,231.950988798,223.053641607,241.175301453,ensemble_top4,9.84901120162,0.624698547434,18.7463583928,9.84901120162,1.04246160472,0.0415848440113
mmr,28,Burundi,Burundi,African Region,2020,441,443.917374752,419.062311603,469.998008512,ensemble_top4,0,0,21.9376883972,-2.91737475233,0.993428113162,-0.00659357676779
